"","race","call"
"1","white",0
"2","white",0
"3","black",0
"4","black",0
"5","white",0
"6","white",0
"7","white",0
"8","black",0
"9","black",0
"10","black",0
"11","black",0
"12","white",0
"13","black",0
"14","white",0
"15","black",0
"16","white",0
"17","white",0
"18","black",0
"19","white",0
"20","black",0
"21","black",0
"22","white",0
"23","white",0
"24","white",0
"25","white",0
"26","black",0
"27","black",0
"28","white",0
"29","black",0
"30","black",0
"31","white",0
"32","black",0
"33","white",0
"34","black",0
"35","white",0
"36","white",0
"37","black",0
"38","black",0
"39","black",0
"40","white",0
"41","white",0
"42","black",0
"43","white",0
"44","white",0
"45","black",0
"46","black",0
"47","white",0
"48","black",0
"49","white",0
"50","black",0
"51","black",0
"52","white",0
"53","white",0
"54","black",0
"55","white",0
"56","black",0
"57","white",0
"58","black",0
"59","white",0
"60","black",0
"61","black",0
"62","white",0
"63","white",0
"64","white",0
"65","black",0
"66","black",0
"67","black",0
"68","white",0
"69","black",0
"70","white",0
"71","white",0
"72","black",0
"73","black",0
"74","white",0
"75","white",0
"76","black",0
"77","white",0
"78","black",0
"79","black",0
"80","white",0
"81","black",0
"82","white",0
"83","white",0
"84","black",0
"85","black",0
"86","white",1
"87","white",0
"88","black",0
"89","white",0
"90","white",0
"91","black",0
"92","white",0
"93","black",0
"94","black",0
"95","black",0
"96","white",1
"97","black",0
"98","white",0
"99","black",0
"100","white",0
"101","black",0
"102","white",0
"103","black",0
"104","white",0
"105","white",0
"106","white",1
"107","black",0
"108","black",1
"109","black",0
"110","white",0
"111","white",0
"112","black",0
"113","white",0
"114","black",0
"115","white",0
"116","black",0
"117","white",0
"118","black",0
"119","black",0
"120","white",0
"121","black",0
"122","white",0
"123","white",0
"124","white",0
"125","black",0
"126","black",0
"127","black",1
"128","white",1
"129","black",0
"130","white",0
"131","white",0
"132","black",0
"133","white",0
"134","black",0
"135","white",0
"136","white",0
"137","black",0
"138","black",0
"139","black",0
"140","white",0
"141","white",0
"142","black",0
"143","black",0
"144","white",0
"145","black",0
"146","white",0
"147","white",0
"148","white",0
"149","black",0
"150","black",0
"151","white",0
"152","black",0
"153","white",0
"154","black",0
"155","black",0
"156","white",0
"157","black",0
"158","white",0
"159","black",0
"160","black",0
"161","white",0
"162","black",0
"163","white",0
"164","white",0
"165","white",0
"166","white",1
"167","black",0
"168","black",0
"169","white",1
"170","white",0
"171","black",0
"172","black",1
"173","black",0
"174","white",0
"175","white",0
"176","white",0
"177","white",0
"178","white",0
"179","white",0
"180","white",0
"181","black",0
"182","white",0
"183","white",0
"184","white",0
"185","black",0
"186","black",0
"187","black",0
"188","black",0
"189","black",0
"190","black",0
"191","black",0
"192","white",0
"193","white",0
"194","black",0
"195","white",0
"196","white",0
"197","black",0
"198","black",0
"199","black",0
"200","black",0
"201","black",1
"202","white",1
"203","white",0
"204","black",0
"205","white",0
"206","black",0
"207","white",0
"208","black",0
"209","black",0
"210","white",0
"211","white",1
"212","black",0
"213","black",0
"214","white",0
"215","white",0
"216","white",0
"217","black",0
"218","black",0
"219","black",0
"220","white",0
"221","white",0
"222","white",0
"223","black",0
"224","black",0
"225","black",0
"226","white",0
"227","black",0
"228","white",0
"229","white",0
"230","white",0
"231","black",0
"232","black",0
"233","white",0
"234","white",0
"235","black",0
"236","black",0
"237","black",0
"238","white",0
"239","white",0
"240","black",0
"241","black",0
"242","white",0
"243","black",0
"244","white",0
"245","black",0
"246","white",0
"247","white",0
"248","white",1
"249","black",0
"250","black",0
"251","white",0
"252","black",0
"253","white",0
"254","black",0
"255","black",0
"256","white",0
"257","black",0
"258","white",0
"259","white",0
"260","black",1
"261","white",0
"262","black",0
"263","white",0
"264","black",0
"265","white",0
"266","black",0
"267","white",0
"268","white",1
"269","black",0
"270","black",1
"271","white",1
"272","black",1
"273","white",1
"274","black",0
"275","black",0
"276","white",0
"277","white",0
"278","white",0
"279","black",0
"280","black",0
"281","black",0
"282","white",0
"283","white",0
"284","white",0
"285","black",0
"286","black",0
"287","black",0
"288","black",0
"289","white",0
"290","white",0
"291","black",0
"292","white",0
"293","white",0
"294","white",0
"295","black",0
"296","black",0
"297","white",0
"298","white",0
"299","black",0
"300","black",0
"301","white",0
"302","white",0
"303","black",0
"304","black",0
"305","black",0
"306","white",0
"307","black",0
"308","white",0
"309","white",0
"310","black",0
"311","white",0
"312","white",0
"313","black",0
"314","black",0
"315","white",0
"316","black",0
"317","white",0
"318","white",0
"319","black",0
"320","black",0
"321","black",0
"322","white",0
"323","black",0
"324","white",0
"325","white",0
"326","white",0
"327","black",0
"328","white",0
"329","black",0
"330","black",0
"331","white",0
"332","black",0
"333","white",0
"334","white",0
"335","black",0
"336","black",0
"337","white",0
"338","black",0
"339","black",0
"340","white",0
"341","white",0
"342","black",0
"343","white",0
"344","white",0
"345","black",0
"346","black",0
"347","white",0
"348","black",0
"349","white",1
"350","black",0
"351","white",0
"352","white",0
"353","black",0
"354","black",0
"355","black",0
"356","black",0
"357","white",0
"358","white",0
"359","white",0
"360","black",0
"361","white",0
"362","white",0
"363","white",0
"364","white",0
"365","black",0
"366","white",0
"367","black",0
"368","black",0
"369","black",0
"370","black",0
"371","black",0
"372","white",0
"373","white",0
"374","white",0
"375","black",0
"376","black",0
"377","white",0
"378","black",0
"379","white",0
"380","black",0
"381","black",0
"382","white",0
"383","white",1
"384","black",1
"385","white",0
"386","black",0
"387","white",0
"388","black",0
"389","white",1
"390","black",0
"391","white",0
"392","black",0
"393","white",0
"394","black",0
"395","black",0
"396","white",0
"397","white",0
"398","black",0
"399","white",0
"400","white",0
"401","black",0
"402","black",0
"403","white",0
"404","black",0
"405","white",0
"406","black",0
"407","white",0
"408","black",0
"409","black",0
"410","white",0
"411","white",0
"412","black",0
"413","black",0
"414","white",1
"415","white",0
"416","black",0
"417","black",0
"418","white",0
"419","white",0
"420","black",0
"421","white",0
"422","black",0
"423","white",0
"424","black",0
"425","white",0
"426","white",0
"427","black",1
"428","black",1
"429","white",0
"430","black",0
"431","white",0
"432","black",0
"433","white",0
"434","white",0
"435","black",0
"436","black",0
"437","white",0
"438","white",0
"439","black",0
"440","black",0
"441","white",0
"442","black",0
"443","white",1
"444","black",0
"445","black",0
"446","white",0
"447","black",0
"448","white",1
"449","white",0
"450","white",0
"451","black",0
"452","black",0
"453","black",0
"454","white",0
"455","black",0
"456","white",0
"457","white",0
"458","white",0
"459","black",0
"460","black",0
"461","white",0
"462","white",0
"463","black",0
"464","black",0
"465","black",0
"466","white",0
"467","black",0
"468","white",0
"469","white",0
"470","black",0
"471","white",0
"472","black",0
"473","white",1
"474","black",0
"475","black",1
"476","white",1
"477","black",1
"478","white",1
"479","black",1
"480","white",1
"481","white",0
"482","black",0
"483","black",0
"484","white",0
"485","white",0
"486","black",0
"487","white",0
"488","black",0
"489","white",0
"490","white",0
"491","black",0
"492","black",0
"493","white",0
"494","white",0
"495","black",0
"496","white",0
"497","black",0
"498","black",0
"499","black",0
"500","white",0
"501","white",0
"502","white",0
"503","black",0
"504","black",0
"505","black",0
"506","white",0
"507","white",0
"508","black",0
"509","black",0
"510","white",0
"511","white",0
"512","black",0
"513","white",0
"514","black",0
"515","white",0
"516","black",0
"517","white",0
"518","black",0
"519","white",0
"520","black",0
"521","white",0
"522","black",0
"523","white",0
"524","black",0
"525","white",0
"526","black",0
"527","white",0
"528","white",0
"529","black",0
"530","black",0
"531","white",0
"532","black",0
"533","black",0
"534","white",0
"535","black",0
"536","white",0
"537","white",0
"538","black",0
"539","white",0
"540","black",0
"541","black",0
"542","black",0
"543","white",0
"544","white",0
"545","black",0
"546","white",0
"547","white",0
"548","white",0
"549","white",0
"550","white",0
"551","white",0
"552","black",0
"553","white",0
"554","white",0
"555","white",0
"556","black",0
"557","black",0
"558","white",0
"559","black",0
"560","black",0
"561","black",0
"562","black",0
"563","black",0
"564","black",0
"565","white",0
"566","white",0
"567","white",0
"568","black",0
"569","black",0
"570","black",0
"571","white",0
"572","black",0
"573","white",0
"574","black",0
"575","black",0
"576","white",0
"577","black",1
"578","white",1
"579","black",0
"580","white",0
"581","black",0
"582","black",0
"583","white",1
"584","white",0
"585","black",0
"586","white",0
"587","white",0
"588","black",0
"589","white",0
"590","black",0
"591","white",0
"592","black",0
"593","white",1
"594","black",0
"595","black",0
"596","white",1
"597","white",0
"598","white",0
"599","black",0
"600","black",0
"601","white",1
"602","white",0
"603","black",0
"604","black",0
"605","black",0
"606","white",0
"607","white",0
"608","black",0
"609","white",0
"610","black",0
"611","black",0
"612","white",0
"613","white",0
"614","black",0
"615","black",0
"616","white",0
"617","white",0
"618","black",0
"619","black",0
"620","white",0
"621","black",0
"622","white",0
"623","white",0
"624","black",0
"625","white",0
"626","black",0
"627","white",0
"628","black",0
"629","black",0
"630","white",0
"631","white",0
"632","black",0
"633","white",0
"634","black",0
"635","black",0
"636","white",0
"637","black",0
"638","black",0
"639","white",0
"640","white",0
"641","white",0
"642","white",0
"643","black",0
"644","black",0
"645","white",0
"646","white",0
"647","black",0
"648","black",0
"649","white",0
"650","white",0
"651","black",0
"652","black",0
"653","white",0
"654","black",0
"655","white",0
"656","white",0
"657","black",0
"658","black",0
"659","white",0
"660","black",0
"661","white",0
"662","black",0
"663","white",0
"664","black",0
"665","white",0
"666","black",0
"667","white",0
"668","black",0
"669","white",0
"670","black",0
"671","white",0
"672","black",0
"673","white",0
"674","black",0
"675","white",0
"676","black",0
"677","black",0
"678","white",0
"679","white",0
"680","black",0
"681","white",0
"682","black",0
"683","white",0
"684","black",0
"685","black",0
"686","white",0
"687","black",0
"688","white",0
"689","white",0
"690","black",0
"691","white",0
"692","black",0
"693","white",0
"694","black",0
"695","black",0
"696","white",0
"697","white",0
"698","white",0
"699","white",0
"700","white",0
"701","white",0
"702","white",0
"703","white",0
"704","white",0
"705","black",0
"706","white",0
"707","white",0
"708","black",0
"709","white",0
"710","black",0
"711","black",0
"712","black",0
"713","black",0
"714","black",0
"715","black",0
"716","black",0
"717","white",0
"718","black",0
"719","white",0
"720","black",0
"721","white",0
"722","white",0
"723","black",0
"724","black",0
"725","black",0
"726","black",0
"727","white",0
"728","black",0
"729","white",0
"730","black",0
"731","black",0
"732","white",0
"733","black",0
"734","white",0
"735","white",1
"736","black",1
"737","white",0
"738","black",0
"739","white",0
"740","black",0
"741","white",0
"742","black",0
"743","black",0
"744","white",0
"745","white",0
"746","black",0
"747","white",0
"748","black",0
"749","white",0
"750","black",0
"751","black",0
"752","white",0
"753","white",0
"754","white",0
"755","black",0
"756","black",0
"757","white",1
"758","black",0
"759","white",1
"760","black",0
"761","white",0
"762","white",0
"763","black",0
"764","black",0
"765","black",1
"766","white",1
"767","white",0
"768","black",0
"769","black",0
"770","black",0
"771","white",0
"772","white",0
"773","white",0
"774","black",0
"775","white",0
"776","black",0
"777","white",0
"778","black",0
"779","black",0
"780","white",0
"781","black",0
"782","white",0
"783","black",0
"784","white",0
"785","white",0
"786","black",0
"787","white",0
"788","black",0
"789","white",0
"790","black",0
"791","white",0
"792","black",0
"793","black",0
"794","white",0
"795","black",0
"796","white",0
"797","white",0
"798","white",0
"799","black",0
"800","black",0
"801","white",0
"802","white",0
"803","black",0
"804","black",0
"805","black",0
"806","white",0
"807","white",1
"808","black",0
"809","black",0
"810","white",0
"811","white",0
"812","black",0
"813","white",0
"814","white",0
"815","black",0
"816","black",0
"817","white",0
"818","black",0
"819","white",0
"820","black",0
"821","white",1
"822","white",0
"823","black",0
"824","black",0
"825","white",0
"826","white",0
"827","black",0
"828","black",0
"829","white",0
"830","white",0
"831","white",0
"832","white",0
"833","white",0
"834","white",0
"835","white",0
"836","white",0
"837","white",0
"838","black",0
"839","black",0
"840","black",0
"841","black",0
"842","white",0
"843","black",0
"844","black",0
"845","black",0
"846","black",0
"847","black",0
"848","black",0
"849","black",0
"850","white",0
"851","white",0
"852","white",0
"853","white",0
"854","white",0
"855","white",0
"856","black",0
"857","black",0
"858","black",0
"859","black",0
"860","black",0
"861","white",0
"862","white",0
"863","black",0
"864","black",0
"865","white",0
"866","black",0
"867","white",0
"868","black",0
"869","white",0
"870","black",0
"871","white",0
"872","black",0
"873","white",0
"874","black",0
"875","white",0
"876","black",0
"877","white",0
"878","black",0
"879","black",0
"880","white",0
"881","white",0
"882","white",0
"883","black",0
"884","black",0
"885","black",0
"886","white",1
"887","white",1
"888","black",0
"889","white",1
"890","black",0
"891","black",0
"892","white",0
"893","black",0
"894","white",0
"895","white",0
"896","black",0
"897","black",0
"898","white",1
"899","black",0
"900","white",0
"901","white",0
"902","black",0
"903","white",0
"904","black",0
"905","white",0
"906","black",0
"907","white",0
"908","black",0
"909","black",0
"910","white",1
"911","white",1
"912","black",0
"913","white",0
"914","black",0
"915","white",0
"916","black",0
"917","black",0
"918","white",0
"919","white",0
"920","white",0
"921","black",0
"922","black",0
"923","white",0
"924","black",0
"925","white",1
"926","black",1
"927","white",0
"928","white",0
"929","black",0
"930","black",0
"931","black",0
"932","white",0
"933","white",0
"934","black",0
"935","black",0
"936","white",0
"937","black",0
"938","white",0
"939","white",0
"940","black",0
"941","black",0
"942","white",0
"943","white",0
"944","white",0
"945","black",0
"946","black",0
"947","white",0
"948","white",0
"949","black",0
"950","black",0
"951","black",0
"952","white",0
"953","white",1
"954","black",0
"955","white",0
"956","black",0
"957","white",0
"958","black",0
"959","white",0
"960","black",0
"961","white",0
"962","white",0
"963","black",0
"964","black",0
"965","black",0
"966","white",0
"967","white",0
"968","black",0
"969","white",0
"970","white",0
"971","black",0
"972","black",0
"973","white",0
"974","black",0
"975","white",0
"976","black",0
"977","white",1
"978","black",0
"979","white",0
"980","black",0
"981","white",0
"982","white",0
"983","black",0
"984","black",0
"985","white",0
"986","black",0
"987","black",0
"988","white",1
"989","black",1
"990","white",0
"991","white",0
"992","black",0
"993","white",0
"994","black",0
"995","black",0
"996","black",0
"997","white",0
"998","white",0
"999","white",0
"1000","white",0
"1001","white",0
"1002","white",0
"1003","black",0
"1004","black",0
"1005","white",0
"1006","white",0
"1007","black",0
"1008","white",0
"1009","white",1
"1010","black",0
"1011","black",0
"1012","white",0
"1013","white",0
"1014","black",0
"1015","black",0
"1016","black",0
"1017","white",0
"1018","black",0
"1019","black",0
"1020","black",0
"1021","white",0
"1022","black",0
"1023","black",0
"1024","black",0
"1025","black",0
"1026","white",0
"1027","white",0
"1028","white",0
"1029","white",0
"1030","white",0
"1031","white",0
"1032","black",0
"1033","black",0
"1034","black",0
"1035","white",0
"1036","white",0
"1037","black",0
"1038","black",0
"1039","white",0
"1040","white",0
"1041","black",0
"1042","black",0
"1043","white",0
"1044","black",0
"1045","white",0
"1046","black",0
"1047","white",0
"1048","black",0
"1049","white",1
"1050","black",0
"1051","white",0
"1052","black",0
"1053","black",0
"1054","white",0
"1055","white",0
"1056","black",0
"1057","black",0
"1058","white",0
"1059","white",0
"1060","black",0
"1061","black",0
"1062","white",0
"1063","black",0
"1064","white",0
"1065","white",0
"1066","black",0
"1067","white",0
"1068","white",0
"1069","black",0
"1070","black",0
"1071","black",0
"1072","white",0
"1073","white",0
"1074","black",0
"1075","black",0
"1076","white",0
"1077","black",0
"1078","white",0
"1079","black",0
"1080","white",1
"1081","black",0
"1082","white",0
"1083","black",0
"1084","white",0
"1085","white",0
"1086","black",0
"1087","white",0
"1088","black",0
"1089","black",0
"1090","white",0
"1091","white",0
"1092","black",0
"1093","black",0
"1094","white",0
"1095","white",0
"1096","white",0
"1097","black",0
"1098","black",0
"1099","white",0
"1100","black",0
"1101","white",0
"1102","black",0
"1103","white",0
"1104","white",0
"1105","black",0
"1106","black",0
"1107","white",0
"1108","black",0
"1109","white",0
"1110","white",0
"1111","black",0
"1112","black",0
"1113","white",1
"1114","black",0
"1115","white",0
"1116","black",0
"1117","white",0
"1118","black",0
"1119","black",0
"1120","white",0
"1121","black",0
"1122","white",0
"1123","white",0
"1124","white",0
"1125","black",0
"1126","black",0
"1127","black",0
"1128","white",0
"1129","black",0
"1130","white",0
"1131","black",0
"1132","white",0
"1133","white",0
"1134","black",0
"1135","black",0
"1136","white",0
"1137","white",0
"1138","white",0
"1139","black",0
"1140","black",0
"1141","white",0
"1142","black",0
"1143","black",0
"1144","white",0
"1145","white",0
"1146","black",0
"1147","white",0
"1148","black",0
"1149","white",0
"1150","black",0
"1151","black",0
"1152","black",0
"1153","white",0
"1154","black",0
"1155","white",0
"1156","white",0
"1157","white",0
"1158","black",0
"1159","white",0
"1160","white",0
"1161","black",0
"1162","black",0
"1163","black",0
"1164","white",1
"1165","white",1
"1166","black",1
"1167","white",0
"1168","black",0
"1169","white",0
"1170","black",0
"1171","black",0
"1172","white",1
"1173","black",0
"1174","white",0
"1175","black",0
"1176","white",0
"1177","white",0
"1178","black",0
"1179","white",0
"1180","black",0
"1181","white",0
"1182","black",0
"1183","black",0
"1184","white",0
"1185","white",0
"1186","black",0
"1187","white",1
"1188","black",0
"1189","black",0
"1190","white",0
"1191","black",0
"1192","white",0
"1193","black",0
"1194","white",0
"1195","white",0
"1196","black",0
"1197","black",0
"1198","white",0
"1199","black",0
"1200","white",0
"1201","white",0
"1202","black",0
"1203","black",0
"1204","white",0
"1205","white",0
"1206","black",0
"1207","black",0
"1208","white",0
"1209","white",0
"1210","black",0
"1211","white",0
"1212","white",1
"1213","black",1
"1214","black",1
"1215","black",0
"1216","white",0
"1217","white",0
"1218","black",0
"1219","black",0
"1220","white",0
"1221","white",0
"1222","black",0
"1223","white",0
"1224","white",0
"1225","black",0
"1226","black",0
"1227","white",0
"1228","black",0
"1229","white",0
"1230","black",0
"1231","white",0
"1232","black",0
"1233","white",0
"1234","black",0
"1235","black",0
"1236","white",0
"1237","white",0
"1238","black",0
"1239","white",0
"1240","black",0
"1241","white",0
"1242","white",0
"1243","black",0
"1244","black",0
"1245","white",0
"1246","black",0
"1247","black",0
"1248","white",0
"1249","white",0
"1250","white",0
"1251","white",0
"1252","white",0
"1253","black",0
"1254","black",1
"1255","black",0
"1256","black",0
"1257","white",0
"1258","white",0
"1259","white",0
"1260","white",0
"1261","black",0
"1262","white",0
"1263","black",1
"1264","black",0
"1265","black",0
"1266","black",0
"1267","black",0
"1268","white",0
"1269","white",0
"1270","white",0
"1271","black",0
"1272","white",0
"1273","white",0
"1274","black",0
"1275","black",0
"1276","black",0
"1277","white",0
"1278","black",0
"1279","white",1
"1280","black",0
"1281","white",0
"1282","black",0
"1283","black",0
"1284","white",1
"1285","white",0
"1286","black",0
"1287","white",0
"1288","black",0
"1289","white",0
"1290","black",0
"1291","black",0
"1292","white",0
"1293","black",0
"1294","white",0
"1295","white",0
"1296","black",0
"1297","white",0
"1298","white",0
"1299","black",0
"1300","black",0
"1301","white",1
"1302","white",0
"1303","black",0
"1304","black",0
"1305","black",0
"1306","white",0
"1307","white",0
"1308","black",0
"1309","white",1
"1310","black",1
"1311","black",1
"1312","white",1
"1313","white",0
"1314","white",0
"1315","black",0
"1316","black",0
"1317","white",0
"1318","black",0
"1319","white",0
"1320","black",0
"1321","white",0
"1322","black",0
"1323","white",0
"1324","black",0
"1325","black",0
"1326","white",0
"1327","white",0
"1328","black",0
"1329","white",0
"1330","black",0
"1331","white",1
"1332","black",1
"1333","white",1
"1334","black",1
"1335","white",0
"1336","white",0
"1337","black",0
"1338","black",0
"1339","white",0
"1340","white",0
"1341","black",0
"1342","black",0
"1343","white",0
"1344","black",0
"1345","black",0
"1346","white",0
"1347","white",0
"1348","black",0
"1349","black",0
"1350","white",0
"1351","white",0
"1352","white",0
"1353","black",0
"1354","black",0
"1355","white",0
"1356","black",0
"1357","black",0
"1358","white",0
"1359","white",0
"1360","black",0
"1361","white",0
"1362","black",0
"1363","white",0
"1364","white",0
"1365","black",0
"1366","black",0
"1367","white",0
"1368","black",0
"1369","white",0
"1370","black",0
"1371","white",1
"1372","black",0
"1373","white",0
"1374","black",0
"1375","black",0
"1376","black",0
"1377","black",0
"1378","white",0
"1379","white",0
"1380","white",0
"1381","white",0
"1382","white",0
"1383","white",0
"1384","white",0
"1385","black",0
"1386","white",0
"1387","black",0
"1388","black",0
"1389","black",0
"1390","white",0
"1391","white",0
"1392","white",0
"1393","black",0
"1394","black",0
"1395","black",0
"1396","black",0
"1397","black",0
"1398","white",0
"1399","white",0
"1400","white",0
"1401","black",0
"1402","white",0
"1403","white",0
"1404","black",0
"1405","black",0
"1406","black",0
"1407","black",1
"1408","white",1
"1409","white",1
"1410","black",1
"1411","white",1
"1412","white",0
"1413","black",0
"1414","black",0
"1415","white",0
"1416","black",0
"1417","black",0
"1418","white",0
"1419","white",0
"1420","white",0
"1421","black",0
"1422","black",0
"1423","black",0
"1424","white",0
"1425","white",0
"1426","black",0
"1427","white",0
"1428","black",0
"1429","white",0
"1430","black",0
"1431","white",1
"1432","white",0
"1433","black",0
"1434","black",0
"1435","white",1
"1436","white",1
"1437","black",0
"1438","black",0
"1439","white",0
"1440","black",0
"1441","white",0
"1442","black",0
"1443","white",1
"1444","black",0
"1445","white",1
"1446","black",0
"1447","white",1
"1448","black",1
"1449","black",0
"1450","white",0
"1451","white",0
"1452","black",0
"1453","black",0
"1454","white",0
"1455","white",0
"1456","black",0
"1457","white",0
"1458","white",0
"1459","black",0
"1460","black",0
"1461","white",0
"1462","white",0
"1463","black",0
"1464","black",0
"1465","white",0
"1466","white",0
"1467","black",0
"1468","black",0
"1469","white",0
"1470","black",0
"1471","black",0
"1472","white",0
"1473","white",0
"1474","black",0
"1475","white",0
"1476","black",0
"1477","white",0
"1478","black",0
"1479","black",0
"1480","white",0
"1481","white",0
"1482","black",0
"1483","white",0
"1484","black",0
"1485","white",0
"1486","black",0
"1487","white",0
"1488","black",0
"1489","black",0
"1490","white",0
"1491","white",0
"1492","white",0
"1493","black",0
"1494","black",0
"1495","white",1
"1496","black",0
"1497","black",0
"1498","white",1
"1499","black",0
"1500","black",0
"1501","white",0
"1502","white",0
"1503","white",0
"1504","black",0
"1505","black",0
"1506","black",0
"1507","white",0
"1508","white",0
"1509","white",0
"1510","black",0
"1511","black",0
"1512","white",0
"1513","black",0
"1514","white",0
"1515","black",0
"1516","white",0
"1517","black",0
"1518","black",0
"1519","black",0
"1520","white",1
"1521","white",0
"1522","white",0
"1523","white",0
"1524","white",1
"1525","white",0
"1526","black",0
"1527","white",0
"1528","black",0
"1529","black",1
"1530","white",0
"1531","black",0
"1532","black",0
"1533","black",1
"1534","black",0
"1535","black",0
"1536","white",0
"1537","white",0
"1538","white",0
"1539","white",0
"1540","white",0
"1541","white",0
"1542","black",0
"1543","black",0
"1544","black",0
"1545","white",0
"1546","black",0
"1547","black",0
"1548","white",1
"1549","black",0
"1550","white",0
"1551","white",0
"1552","black",0
"1553","white",0
"1554","black",0
"1555","black",0
"1556","white",0
"1557","black",0
"1558","white",0
"1559","black",1
"1560","white",0
"1561","white",0
"1562","white",1
"1563","black",0
"1564","black",1
"1565","black",0
"1566","white",1
"1567","white",1
"1568","black",0
"1569","black",0
"1570","white",0
"1571","black",0
"1572","white",0
"1573","white",0
"1574","white",1
"1575","black",0
"1576","black",0
"1577","white",1
"1578","black",0
"1579","black",0
"1580","white",0
"1581","white",1
"1582","black",1
"1583","white",1
"1584","black",1
"1585","white",0
"1586","black",0
"1587","white",0
"1588","black",0
"1589","white",0
"1590","black",1
"1591","white",0
"1592","black",0
"1593","white",0
"1594","white",0
"1595","black",0
"1596","black",0
"1597","white",0
"1598","black",0
"1599","white",0
"1600","black",0
"1601","black",0
"1602","white",0
"1603","white",0
"1604","black",0
"1605","white",0
"1606","black",0
"1607","black",0
"1608","white",0
"1609","white",0
"1610","black",0
"1611","black",0
"1612","white",0
"1613","white",0
"1614","black",0
"1615","white",0
"1616","black",0
"1617","black",0
"1618","white",0
"1619","white",0
"1620","black",0
"1621","white",0
"1622","black",0
"1623","white",0
"1624","black",0
"1625","white",0
"1626","black",0
"1627","black",0
"1628","white",0
"1629","white",0
"1630","black",0
"1631","white",0
"1632","black",0
"1633","white",0
"1634","black",0
"1635","white",0
"1636","black",0
"1637","white",0
"1638","white",0
"1639","black",0
"1640","black",0
"1641","white",0
"1642","black",0
"1643","black",0
"1644","white",0
"1645","white",0
"1646","black",0
"1647","black",0
"1648","white",0
"1649","white",0
"1650","black",0
"1651","white",0
"1652","black",0
"1653","white",0
"1654","black",0
"1655","white",0
"1656","white",0
"1657","white",0
"1658","white",0
"1659","black",0
"1660","white",0
"1661","white",0
"1662","white",0
"1663","white",0
"1664","black",0
"1665","black",0
"1666","black",0
